,inner_loss,inner_loss_b,inner_loss_f
75,[0.00998048 0.00975638 0.0095458  0.00934756 0.00916057 0.00898387],"[7.18129960e-05 6.85285101e-05 6.56469823e-05 6.31214645e-05
 6.09109163e-05 5.89795310e-05]",[0.00926235 0.00907109 0.00888933 0.00871634 0.00855146 0.00839408]
76,[0.00875199 0.00864441 0.00854058 0.00844026 0.00834324 0.00824933],"[3.19420747e-05 3.03147451e-05 2.88543493e-05 2.75466392e-05
 2.63782928e-05 2.53372879e-05]",[0.00843257 0.00834126 0.00825203 0.0081648  0.00807946 0.00799596]
77,[0.00546089 0.00538295 0.0053084  0.00523698 0.00516844 0.00510259],"[3.88501841e-05 3.63212916e-05 3.40050555e-05 3.18833749e-05
 2.99392660e-05 2.81580667e-05]",[0.00507239 0.00501974 0.00496835 0.00491815 0.00486905 0.00482101]
78,[0.01194597 0.01172217 0.01151195 0.01131385 0.01112667 0.01094929],"[6.85425821e-05 6.47973178e-05 6.14893111e-05 5.85657450e-05
 5.59806604e-05 5.36938281e-05]",[0.01126054 0.0110742  0.01089705 0.0107282  0.01056687 0.01041235]
79,[0.01166342 0.01145898 0.0112658  0.01108294 0.01090952 0.01074477],"[5.93530741e-05 5.55716590e-05 5.22317961e-05 4.92863679e-05
 4.66929320e-05 4.44133824e-05]",[0.01106988 0.01090326 0.01074349 0.01059007 0.01044259 0.01030063]
80,[0.00940681 0.00930895 0.00921425 0.00912252 0.00903357 0.00894723],"[4.81683701e-05 4.49811303e-05 4.20408344e-05 3.93290487e-05
 3.68290228e-05 3.45247190e-05]",[0.00892513 0.00885914 0.00879384 0.00872923 0.00866528 0.00860199]
81,[0.01601884 0.0155911  0.01519679 0.01483256 0.01449536 0.0141825 ],"[5.69001063e-05 5.51657316e-05 5.42115281e-05 5.39142169e-05
 5.41646131e-05 5.48690737e-05]",[0.01544984 0.01503944 0.01465467 0.01429342 0.01395372 0.01363381]
82,[0.00788066 0.00779053 0.00770345 0.00761922 0.00753766 0.00745863],"[4.20767894e-05 3.95202328e-05 3.71640775e-05 3.49926213e-05
 3.29919663e-05 3.11491668e-05]",[0.00745989 0.00739533 0.00733181 0.00726929 0.00720775 0.00714714]
83,[0.01417838 0.01381973 0.01348576 0.01317427 0.01288327 0.01261096],"[2.63219124e-05 2.64538895e-05 2.70982331e-05 2.81741340e-05
 2.96099915e-05 3.13431320e-05]",[0.01391516 0.0135552  0.01321478 0.01289253 0.01258717 0.01229753]
84,[0.00670635 0.00656404 0.00642911 0.00630102 0.00617927 0.00606342],"[6.18471440e-05 5.78854559e-05 5.43139420e-05 5.10975581e-05
 4.82038793e-05 4.56032815e-05]",[0.00608788 0.00598518 0.00588597 0.00579004 0.00569724 0.00560739]
85,[0.01103076 0.01089861 0.01077084 0.01064718 0.01052736 0.01041116],"[5.79396298e-05 5.43409789e-05 5.10226879e-05 4.79627528e-05
 4.51415258e-05 4.25405001e-05]",[0.01045136 0.0103552  0.01026061 0.01016755 0.01007595 0.00998576]
86,[0.01657924 0.01631279 0.01606022 0.0158203  0.01559198 0.01537429],"[6.00374769e-05 5.71988818e-05 5.47989815e-05 5.27848451e-05
 5.11110984e-05 4.97371325e-05]",[0.01597886 0.0157408  0.01551223 0.01529245 0.01508087 0.01487692]
87,[0.00581301 0.00572767 0.00564591 0.0055675  0.00549223 0.0054199 ],"[5.75698084e-05 5.40565249e-05 5.08094314e-05 4.78096581e-05
 4.50385957e-05 4.24791771e-05]",[0.00523731 0.00518711 0.00513781 0.0050894  0.00504185 0.00499511]
88,[0.00785451 0.00777623 0.00770087 0.00762823 0.00755813 0.0074904 ],"[3.87926154e-05 3.63026229e-05 3.40197253e-05 3.19271270e-05
 3.00096394e-05 2.82529105e-05]",[0.00746659 0.0074132  0.00736067 0.00730896 0.00725804 0.00720787]
89,[0.00888674 0.00869466 0.00851324 0.00834163 0.00817911 0.00802498],"[6.28010345e-05 5.89149803e-05 5.54981889e-05 5.25031604e-05
 4.98877830e-05 4.76127707e-05]",[0.00825873 0.00810551 0.00795825 0.0078166  0.00768023 0.00754885]
90,[0.01677496 0.01628647 0.015836   0.01541976 0.01503437 0.01467678],"[6.32472869e-05 6.13165955e-05 6.02475539e-05 5.99042678e-05
 6.01675283e-05 6.09344541e-05]",[0.01614248 0.01567331 0.01523352 0.01482071 0.0144327  0.01406743]
91,[0.00837896 0.0082336  0.00809586 0.00796513 0.00784087 0.0077226 ],"[5.11777023e-05 4.81124241e-05 4.53860769e-05 4.29651317e-05
 4.08193905e-05 3.89210662e-05]",[0.00786718 0.00775248 0.007642   0.00753547 0.00743268 0.00733339]
92,[0.00726481 0.00717188 0.00708274 0.00699716 0.00691489 0.00683573],"[6.81509571e-05 6.39820802e-05 6.01184140e-05 5.65375480e-05
 5.32184437e-05 5.01418637e-05]",[0.0065833  0.00653206 0.00648156 0.00643178 0.0063827  0.00633431]
93,[0.00685987 0.00673046 0.00660784 0.00649146 0.00638082 0.00627548],"[4.18646239e-05 4.02458540e-05 3.88207113e-05 3.75671507e-05
 3.64661201e-05 3.55001501e-05]",[0.00644122 0.006328   0.00621964 0.00611579 0.00601616 0.00592048]
94,[0.00983318 0.00961206 0.00940516 0.00921119 0.00902898 0.0088575 ],"[3.92924427e-05 3.73381373e-05 3.58015727e-05 3.46278134e-05
 3.37677980e-05 3.31792331e-05]",[0.00944026 0.00923868 0.00904714 0.00886491 0.0086913  0.00852571]
95,[0.01435075 0.01403039 0.0137288  0.01344444 0.01317589 0.01292189],"[4.13887001e-05 4.03529459e-05 3.97655647e-05 3.95653189e-05
 3.96978159e-05 4.01145273e-05]",[0.01393686 0.01362686 0.01333114 0.01304878 0.01277892 0.01252075]
96,[0.01227044 0.01210752 0.01195054 0.01179915 0.01165295 0.0115116 ],"[7.81239644e-05 7.25580491e-05 6.74451648e-05 6.27498242e-05
 5.84387349e-05 5.44812759e-05]",[0.0114892  0.01138193 0.01127609 0.01117165 0.01106856 0.01096679]
97,[0.00522574 0.00516056 0.00509775 0.00503718 0.00497871 0.00492223],"[3.68851408e-05 3.46220286e-05 3.25322580e-05 3.06035003e-05
 2.88237900e-05 2.71824000e-05]",[0.00485689 0.00481434 0.00477242 0.00473114 0.00469048 0.00465041]
