,inner_loss,inner_loss_b,inner_loss_f
56,[6.96454703 3.73736467 2.72696082 2.32905711 1.98398361 1.60571138],[0.67298578 0.35097116 0.25054513 0.21140954 0.17776329 0.14109419],[0.23468918 0.2276531  0.22150955 0.21496174 0.20635078 0.19476944]
57,[6.76869727 3.48430658 2.47445499 2.10997344 1.81390798 1.49276877],[0.65736436 0.32947704 0.228939   0.19292934 0.16387657 0.13251678],[0.1950537  0.18953615 0.18506501 0.18068003 0.17514223 0.16760096]
58,[6.51888119 3.25030535 2.26414337 1.9256569  1.66411846 1.38964108],[0.6327413  0.30646333 0.20828037 0.17479502 0.14902445 0.12202827],[0.19146822 0.18567201 0.18133967 0.17770667 0.17387397 0.16935843]
59,[6.91345962 3.61996947 2.61058483 2.21635962 1.8696271  1.49315001],[0.66939344 0.34078046 0.24044203 0.20160682 0.16765423 0.13091642],[0.21952519 0.21216491 0.20616449 0.20029145 0.19308482 0.18398578]
60,[6.73543027 3.72475249 2.78877362 2.40048562 2.05181709 1.66934413],[0.64790795 0.34755725 0.2545311  0.21626541 0.18212154 0.1448834 ],[0.25635077 0.24917996 0.24346266 0.23783154 0.23060164 0.22051016]
61,[6.80114606 3.61266043 2.63428266 2.2373348  1.88158371 1.49961891],[0.65967338 0.34148647 0.24420096 0.20505331 0.1701235  0.13267137],[0.20441218 0.19779568 0.19227302 0.18680167 0.18034867 0.17290519]
62,[6.72480056 3.51308676 2.53717634 2.15427737 1.81626765 1.45347228],[0.65140627 0.33079213 0.23363036 0.19573164 0.16237382 0.12660928],[0.21073787 0.20516542 0.20087272 0.19696097 0.19252944 0.18737948]
63,[6.66026415 3.44554639 2.47881751 2.09871021 1.76244987 1.40248567],[0.64743775 0.32665234 0.23052936 0.19304771 0.16006422 0.12487146],[0.1858866  0.17902299 0.17352386 0.16823315 0.16180766 0.15377107]
64,[6.23747898 3.14184813 2.22126979 1.87068322 1.56787063 1.25046175],[0.60478163 0.29587758 0.20435166 0.16981221 0.14014039 0.10910086],[0.18966269 0.18307231 0.1777532  0.17256109 0.16646672 0.15945314]
65,[6.41776296 3.16514807 2.20825991 1.85616481 1.55504853 1.23650226],[0.62571149 0.3010274  0.20576386 0.17092765 0.14124515 0.10989649],[0.16064801 0.15487404 0.15062135 0.1468883  0.14259698 0.13753738]
66,[6.47912855 3.47540918 2.56159504 2.17612331 1.82099063 1.44126169],[0.62451827 0.32492179 0.23415184 0.19620371 0.16143495 0.12438144],[0.23394583 0.22619123 0.22007666 0.21408616 0.20664111 0.19744732]
67,[6.05232524 2.9542011  2.04581495 1.71017226 1.42051344 1.11804029],[0.58345052 0.27430723 0.18400611 0.15095266 0.12255819 0.09293417],[0.21782002 0.21112881 0.20575385 0.20064566 0.19493151 0.18869856]
68,[6.69029198 3.61019772 2.66664007 2.25757755 1.87654501 1.47266916],[0.647459   0.34011838 0.24627167 0.20581745 0.16820269 0.12832072],[0.21570192 0.20901397 0.20392338 0.19940307 0.19451814 0.18946193]
