,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f,inner_loss_pre_adapt,inner_loss_i_pre_adapt,inner_loss_b_pre_adapt,inner_loss_f_pre_adapt
1993,[0.21870684 0.12655226 0.11201381 0.09410785 0.08698984 0.05833759],[0.10198876 0.07949279 0.06184588 0.0490505  0.04116748 0.03301189],[0.00521952 0.00783539 0.0076558  0.00723521 0.00811605 0.00751215],[0.11149857 0.03922408 0.04251213 0.03782214 0.03770631 0.01781354],[0.21870684 0.12655226 0.11201381 0.09410785 0.08698984 0.05833759],[0.10198876 0.07949279 0.06184588 0.0490505  0.04116748 0.03301189],[0.00521952 0.00783539 0.0076558  0.00723521 0.00811605 0.00751215],[0.11149857 0.03922408 0.04251213 0.03782214 0.03770631 0.01781354]
1994,[0.18617745 0.44431482 0.79576198 0.74197271 0.0887791  0.064707  ],[0.09243993 0.07564147 0.08184765 0.32937495 0.05048684 0.04030036],[0.00480251 0.00820117 0.04308443 0.39156232 0.00821364 0.0105994 ],[0.08893501 0.36047217 0.67082991 0.02103541 0.03007863 0.01380724],[0.18617745 0.44431482 0.79576198 0.74197271 0.0887791  0.064707  ],[0.09243993 0.07564147 0.08184765 0.32937495 0.05048684 0.04030036],[0.00480251 0.00820117 0.04308443 0.39156232 0.00821364 0.0105994 ],[0.08893501 0.36047217 0.67082991 0.02103541 0.03007863 0.01380724]
1995,[0.13659146 0.11546192 0.0808207  0.06623467 0.05890203 0.07210094],[0.08389781 0.06920534 0.05679895 0.04364073 0.03374369 0.0267097 ],[0.00488167 0.0059146  0.00600795 0.00554966 0.00537067 0.00517717],[0.04781198 0.04034197 0.01801381 0.01704429 0.01978766 0.04021408],[0.13659146 0.11546192 0.0808207  0.06623467 0.05890203 0.07210094],[0.08389781 0.06920534 0.05679895 0.04364073 0.03374369 0.0267097 ],[0.00488167 0.0059146  0.00600795 0.00554966 0.00537067 0.00517717],[0.04781198 0.04034197 0.01801381 0.01704429 0.01978766 0.04021408]
1996,[0.17809843 0.13270352 0.09845946 0.07521189 0.0614134  0.05152024],[0.10911968 0.08911457 0.06789123 0.05223776 0.04064336 0.03190566],[0.0052137  0.00656508 0.00719757 0.00711849 0.00706418 0.00696609],[0.06376505 0.03702387 0.02337066 0.01585564 0.01370586 0.0126485 ],[0.17809843 0.13270352 0.09845946 0.07521189 0.0614134  0.05152024],[0.10911968 0.08911457 0.06789123 0.05223776 0.04064336 0.03190566],[0.0052137  0.00656508 0.00719757 0.00711849 0.00706418 0.00696609],[0.06376505 0.03702387 0.02337066 0.01585564 0.01370586 0.0126485 ]
1997,[0.15063948 0.16873973 0.17138943 0.13850664 0.08085723 0.05563625],[0.10475489 0.07935981 0.07115528 0.04957164 0.03926958 0.03272265],[0.004706   0.00749473 0.01071649 0.01111565 0.01580164 0.01232901],[0.04117859 0.08188519 0.08951765 0.07781935 0.02578601 0.0105846 ],[0.15063948 0.16873973 0.17138943 0.13850664 0.08085723 0.05563625],[0.10475489 0.07935981 0.07115528 0.04957164 0.03926958 0.03272265],[0.004706   0.00749473 0.01071649 0.01111565 0.01580164 0.01232901],[0.04117859 0.08188519 0.08951765 0.07781935 0.02578601 0.0105846 ]
1998,[0.18789461 0.18506404 0.14134094 0.08348559 0.06142873 0.05009322],[0.09247148 0.07615233 0.06492717 0.05271598 0.0402235  0.03140994],[0.00539669 0.0109538  0.01155595 0.01001198 0.00934884 0.00888844],[0.09002644 0.09795791 0.06485782 0.02075762 0.01185639 0.00979483],[0.18789461 0.18506404 0.14134094 0.08348559 0.06142873 0.05009322],[0.09247148 0.07615233 0.06492717 0.05271598 0.0402235  0.03140994],[0.00539669 0.0109538  0.01155595 0.01001198 0.00934884 0.00888844],[0.09002644 0.09795791 0.06485782 0.02075762 0.01185639 0.00979483]
1999,[0.19362695 0.14118569 0.1197467  0.08738121 0.12744493 0.05715664],[0.0893849  0.0743479  0.06310886 0.05377103 0.04143939 0.03174028],[0.00576618 0.00955146 0.01022911 0.01106683 0.01032049 0.00964273],[0.09847587 0.05728633 0.04640873 0.02254335 0.07568504 0.01577363],[0.19362695 0.14118569 0.1197467  0.08738121 0.12744493 0.05715664],[0.0893849  0.0743479  0.06310886 0.05377103 0.04143939 0.03174028],[0.00576618 0.00955146 0.01022911 0.01106683 0.01032049 0.00964273],[0.09847587 0.05728633 0.04640873 0.02254335 0.07568504 0.01577363]
2000,[0.15945394 0.13351166 0.09803483 0.12716344 0.12043329 0.06597981],[0.0979421  0.0794288  0.0647164  0.05021746 0.05560956 0.04575325],[0.00525293 0.00570651 0.00644174 0.00685457 0.00925405 0.01021375],[0.05625891 0.04837635 0.02687669 0.07009141 0.05556969 0.01001281],[0.15945394 0.13351166 0.09803483 0.12716344 0.12043329 0.06597981],[0.0979421  0.0794288  0.0647164  0.05021746 0.05560956 0.04575325],[0.00525293 0.00570651 0.00644174 0.00685457 0.00925405 0.01021375],[0.05625891 0.04837635 0.02687669 0.07009141 0.05556969 0.01001281]
2001,[0.17494932 0.17653334 0.11614155 0.0838706  0.06526174 0.05425386],[0.08642606 0.07086569 0.0552645  0.04794422 0.03813929 0.03051654],[0.00465528 0.00708656 0.02117668 0.01798538 0.01512712 0.01377525],[0.08386798 0.09858108 0.03970037 0.017941   0.01199533 0.00996207],[0.17494932 0.17653334 0.11614155 0.0838706  0.06526174 0.05425386],[0.08642606 0.07086569 0.0552645  0.04794422 0.03813929 0.03051654],[0.00465528 0.00708656 0.02117668 0.01798538 0.01512712 0.01377525],[0.08386798 0.09858108 0.03970037 0.017941   0.01199533 0.00996207]
2002,[0.17006666 0.12545014 0.11363059 0.11311986 0.06622743 0.05231996],[0.11894799 0.08964455 0.0682396  0.05335706 0.04711325 0.03552623],[0.00493541 0.00690369 0.00697457 0.00787838 0.00796958 0.00719506],[0.04618326 0.02890189 0.03841642 0.05188442 0.0111446  0.00959867],[0.17006666 0.12545014 0.11363059 0.11311986 0.06622743 0.05231996],[0.11894799 0.08964455 0.0682396  0.05335706 0.04711325 0.03552623],[0.00493541 0.00690369 0.00697457 0.00787838 0.00796958 0.00719506],[0.04618326 0.02890189 0.03841642 0.05188442 0.0111446  0.00959867]
